Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00530896551307613,-0.00488146257129767,-0.00108926209888665,0,0,0,1.43623232112764,0.00250133385652122,6.39361065374953E-07,-1.0452226731273E-05,0.00138602302847275,3.25031693171408E-06,0.00209109142943327,0,0,0,0,0,0,package://HTDW_4438/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HTDW_4438/meshes/base_link.STL,,base-3,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,-0.011175962901853,0.00214843118796925,-6.7372976802612E-05,0,0,0,0.0627632437664345,1.3803393905315E-05,6.66942635042799E-07,-7.58770616204294E-08,1.96862600319711E-05,-5.78497161163577E-10,1.17112014993658E-05,0,0,0,0,0,0,package://HTDW_4438/meshes/FL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HTDW_4438/meshes/FL_hip.STL,,FL_hip-1,FL___hip,FL__hip,FL_hip_joint,revolute,0.14165,0.037,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FL_thigh,-0.0052176010483464,-0.00884351155354048,-0.0377205675797213,0,0,0,0.264760738721982,0.000419195858566499,2.03738231885919E-07,3.3281278112596E-05,0.000482532194951317,1.4016386593396E-06,7.04214920355385E-05,0,0,0,0,0,0,package://HTDW_4438/meshes/FL_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HTDW_4438/meshes/FL_thigh.STL,,FL_thigh-3,FL___thigh,FL__thigh,FL_thigh_joint,revolute,0,0.0834,0,0,0,0,FL_hip,0,1,0,0,0,0,0,,,,,,,,
FL_calf,0.0102816704612563,1.62244585395765E-06,-0.0628030759324844,0,0,0,0.153268276445712,0.000477376654736183,-3.21834592213819E-09,-3.36524070741435E-05,0.000486852091359258,1.61974553789063E-08,1.52089082122725E-05,0,0,0,0,0,0,package://HTDW_4438/meshes/FL_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HTDW_4438/meshes/FL_calf.STL,,FL_calf-1,FL___calf,FL__calf,FL_calf_joint,revolute,0,0,-0.15,0,0,0,FL_thigh,0,1,0,0,0,0,0,,,,,,,,
FL_foot,-0.0039627037166873,-1.23541049612541E-09,-0.00314460024957436,0,0,0,0.0049215011738973,3.63899112539145E-07,-3.6349439944636E-14,-7.35255072020136E-08,4.62050344128477E-07,6.12968834920132E-16,3.29588352929664E-07,0,0,0,0,0,0,package://HTDW_4438/meshes/FL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://HTDW_4438/meshes/FL_foot.STL,,FL_foot-1,FL___foot,FL__foot,FL_foot_joint,fixed,0,0,-0.15,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,-0.0111759629023594,-0.00214843119113931,6.73729740086932E-05,0,0,0,0.0627632437545266,1.38033939010895E-05,-6.66942633910464E-07,7.58770631361915E-08,1.9686260028362E-05,-5.78499148925351E-10,1.17112014969974E-05,0,0,0,0,0,0,package://HTDW_4438/meshes/FR_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HTDW_4438/meshes/FR_hip.STL,,FR_hip-1,FR___hip,FR__hip,FR_hip_joint,revolute,0.14165,-0.037,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FR_thigh,-0.0054907712530915,0.00884349936829075,-0.0378283464563652,0,0,0,0.264761547925638,0.000419698172836129,-1.23534365954168E-07,3.05313061101485E-05,0.000482533495029314,-1.39999132850162E-06,6.99205189115532E-05,0,0,0,0,0,0,package://HTDW_4438/meshes/FR_thigh.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HTDW_4438/meshes/FR_thigh.STL,,FR_thigh-1,FR___thigh,FR__thigh,FR_thigh_joint,revolute,0,-0.0834,0,0,0,0,FR_hip,0,1,0,0,0,0,0,,,,,,,,
FR_calf,0.0102816722309358,1.62243827958597E-06,-0.0628030804631996,0,0,0,0.153268271042767,0.00047737663251671,-3.21812814736719E-09,-3.36524026483139E-05,0.000486852067849436,1.6196793124516E-08,1.52089068420327E-05,0,0,0,0,0,0,package://HTDW_4438/meshes/FR_calf.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HTDW_4438/meshes/FR_calf.STL,,FR_calf-2,FR___calf,FR__calf,FR_calf_joint,revolute,0,0,-0.15,0,0,0,FR_thigh,0,1,0,0,0,0,0,,,,,,,,
FR_foot,-0.00396270246877165,-1.15568347947015E-09,-0.00314460329835686,0,0,0,0.0049215011738973,3.63899112539147E-07,-3.63494401529943E-14,-7.35255072020139E-08,4.62050344128478E-07,6.12969098435677E-16,3.29588352929664E-07,0,0,0,0,0,0,package://HTDW_4438/meshes/FR_foot.STL,1,1,1,1,0,0,0,0,0,0,package://HTDW_4438/meshes/FR_foot.STL,,FR_foot-3,FR___foot,FR__foot,FR_foot,fixed,0,0,-0.15,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
RL_hip,0.01117596290331,0.00214843118771957,6.73729766615413E-05,0,0,0,0.0627632437669057,1.38033939057253E-05,-6.66942637432805E-07,-7.58770648949209E-08,1.96862600319623E-05,5.78497392462924E-10,1.17112014994272E-05,0,0,0,0,0,0,package://HTDW_4438/meshes/RL_hip.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://HTDW_4438/meshes/RL_hip.STL,,RL_hip-2,RL___hip,RL__hip,RL_hip_joint,revolute,-0.14165,0.037,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
